Firstname          ,Lastname        ,SessionDate ,TimeRange     ,Participant ,LOC   ,SOC   ,Chairs ,Organisation                                                     ,Country      ,Title                                                                                                                                                                                          , ,Abstract
Tyger              ,Peak            ,2026-03-16  ,11:55 - 12:10 ,True        ,False ,False ,False  ,Queen Mary University of London                                  ,UK           ,Beyond vanilla external photoevaporation: What processes sculpt the Trumpler 14 proplyds?Cosmic-Ray Ionization Rate in Young Protoplanetary Disks obtained from Particle Tracing Simulations   , ,
Lin                ,Qiao            ,2026-03-19  ,16:10 - 16:25 ,True        ,False ,False ,False  ,Queen Mary University of London                                  ,UK           ,Multi-planet formation in stellar cluster environments                                                                                                                                         , ,
Louca              ,Romain          ,            ,              ,True        ,True  ,False ,False  ,CRAL - ENS de Lyon                                               ,France       ,TBD                                                                                                                                                                                            , ,
Eleftheria         ,Sarafidou       ,2026-03-18  ,11:10 - 11:35 ,True        ,False ,False ,False  ,Queen Mary University London                                     ,UK           ,Transition disks and Hall - MHD                                                                                                                                                                , ,
Nadine             ,Soliman         ,2026-03-17  ,14:25 - 14:50 ,True        ,False ,False ,False  ,Institute for Advanced Study                                     ,USA          ,Star Formation Across Five Orders of Magnitude: Linking Giant Molecular Clouds and Circumstellar Disks                                                                                         , ,
Alice              ,Somigliana      ,2026-03-19  ,14:25 - 14:50 ,True        ,False ,False ,False  ,MPIA                                                             ,Germany      ,From star-forming clumps to populations of protoplanetary discs                                                                                                                                , ,
Shinsuke           ,Takasao         ,2026-03-18  ,14:50 - 15:15 ,True        ,False ,False ,False  ,Musashino Art University                                         ,Japan        ,Stellar scale processes and impacts on disk evolution (TBD)                                                                                                                                    , ,
Kengo              ,Tomida          ,2026-03-20  ,14:25 - 14:50 ,True        ,False ,True  ,True   ,Tohoku University                                                ,Japan        ,TBD                                                                                                                                                                                            , ,
Valentin           ,Vallucci-Goy    ,2026-03-19  ,09:25 - 09:50 ,True        ,False ,False ,False  ,ICE-CSIC                                                         ,Argentina    ,When two grains collide: on the importance of dust dynamics and evolution for star and planet formation                                                                                        , ,
Gabriel            ,Verrier         ,2026-03-16  ,16:10 - 16:25 ,True        ,False ,False ,False  ,CEA Paris-Saclay                                                 ,France       ,Dust dynamics at the early stages of star and planet formation: analytical and numerical multifluid methods                                                                                    , ,
Eduard             ,Vorobyov        ,2026-03-16  ,10:40 - 11:05 ,True        ,False ,False ,False  ,The University of Innsbruck                                      ,Austria      ,Evolution of masses and sizes of self-gravitating protoplanetary disks. Insights from hydrodynamic modeling with magnetic disk winds                                                           , ,
